file,expected_n,observed_n,sha256,status
source_conventional_y2019_c000.csv,500,500,86b14f05325425d579ec9b866e5b7e25252984bf020665975ae05fa95df2e6f4,PASS
source_conventional_y2019_c001.csv,500,500,c455df2e83d7bca38afb1c4778d044b5cc5778d307d27dcb513bfa3c278c2d67,PASS
source_conventional_y2019_c002.csv,500,500,c2367753788cef86f2ff30d8c90275c02fb25b18e190229fe0a29e2351fefa68,PASS
source_conventional_y2019_c003.csv,500,500,cf3c7e3a37ab5053713d8215ca160c7c32e5fb88a5fca569a8ab2d9454ff5ce2,PASS
source_conventional_y2019_c004.csv,500,500,b55ff2be0bcf410d75dbf9973a9c28102d326b1ed23ff95bf209a012319b80b0,PASS
source_conventional_y2019_c005.csv,500,500,ba0be2ce66717f14174f1bdc1f77de824a62fed5976154baf061975f56551e21,PASS
source_conventional_y2019_c006.csv,500,500,93ce00b1fb67a0027c9d1cd5505274ae9ff5bdc5fff3c2a2fdc4b44718e7088b,PASS
source_conventional_y2019_c007.csv,500,500,4ec02784de0cff33c335408128b4e529a5de9496052ea07ba02483cdd8335035,PASS
source_conventional_y2019_c008.csv,500,500,ddf13ad49539410b6d6343c553cd0030e3067cd8a478132ef5b211d752179db2,PASS
source_conventional_y2019_c009.csv,500,500,27f0ae9621726baea3c569104bb2d040456cb7d7795aef3b6e61db790ee3ce1b,PASS
source_conventional_y2019_c010.csv,500,500,05ca409c0ba65d5b18d7a75d24c2f07a53ea1c102c6dfcfe41ad97c4536db3a0,PASS
source_conventional_y2019_c011.csv,500,500,e56beb1a66b8bc6bfd748b4c01634065e3b389bc278bc4b6199649ae925d7b42,PASS
source_conventional_y2019_c012.csv,500,500,724a27b79eab0398217a1583a22578d0b11622ace384b1fb2df52f345f48d6c0,PASS
source_conventional_y2019_c013.csv,500,500,96a3c004199d5bcdff2f5d865900bf31c20320ebb65eb247ceb0ede2710c7adf,PASS
