shot_number,year,lon,lat,target_block_id,spatial_fold
111640600300441284,2020,118.58254647718132,29.21740796440291,E130_N646,4
126890500300420795,2021,118.58650615891678,29.16142395067689,E130_N645,4
126890600300442530,2021,118.5647680412812,29.174047665759204,E130_N645,4
126890600300442533,2021,118.56596308036352,29.17291059499057,E130_N645,4
126890600300442551,2021,118.57315561036272,29.166088170378803,E130_N645,4
126890800300421268,2021,118.5614504700974,29.165624423869243,E130_N645,4
126890800300421269,2021,118.56185178919225,29.165254318481807,E130_N645,4
126890800300421270,2021,118.562248649186,29.164875294892266,E130_N645,4
126890800300421271,2021,118.5626499682808,29.164491812201668,E130_N645,4
126890800300421272,2021,118.5630468282746,29.16411278861212,E130_N645,4
126890800300421299,2021,118.57381555731864,29.153919283603948,E130_N645,4
126890800300421302,2021,118.57501059640096,29.152795590138474,E130_N645,4
126890800300421304,2021,118.57580877548952,29.152042002060448,E130_N645,4
126890800300421305,2021,118.57621009458433,29.151667437571955,E130_N645,4
126890800300421306,2021,118.57660695457812,29.151292873083467,E130_N645,4
126891100300419480,2021,118.30466421773264,29.399976938834143,E125_N650,2
126891100300419481,2021,118.30506553682748,29.3995979152446,E125_N650,2
126891100300419483,2021,118.30586817501708,29.398844327166568,E125_N650,2
126891100300420142,2021,118.5694411791852,29.15018701602221,E130_N645,4
126891100300420143,2021,118.56983803917896,29.149812451533723,E130_N645,4
126891100300420146,2021,118.57103753736236,29.148684298967204,E130_N645,4
127500000300421098,2021,118.43674279093572,29.27637957583473,E127_N647,3
127500000300421101,2021,118.43794674822018,29.275246964167152,E127_N647,3
127500000300421103,2021,118.43875384551082,29.27448891698807,E127_N647,3
127500000300421104,2021,118.43916408280776,29.27410989339853,E127_N647,3
127500000300421106,2021,118.43997118009844,29.27335184621944,E127_N647,3
127500000300421109,2021,118.44117959648388,29.272214775450813,E128_N647,3
127500000300421112,2021,118.4423701764652,29.27108662288429,E128_N647,3
127500000300421350,2021,118.5372687650846,29.181463150811084,E129_N645,4
127500000300421351,2021,118.5376700841794,29.181084127221546,E129_N645,4
127500000300421352,2021,118.53806248507207,29.18070956273305,E129_N645,4
127500000300421353,2021,118.53845488596482,29.18033499824456,E129_N645,4
127500000300421354,2021,118.53884728685752,29.17996043375608,E129_N645,4
127500000300421356,2021,118.53963654774395,29.17920684567804,E129_N645,4
127500000300421357,2021,118.54003340773772,29.178832281189543,E129_N645,4
