shot_number,lon,lat,delta_time,year,spatial_block_id,spatial_block_x,spatial_block_y,sampling_random,agbd,agbd_se,date,spatial_fold
46900300300206425,-85.54036687969044,34.66328578547109,55987296.471104,2019,EPSG5070_50KM_18_26,18,26,0.0154645205412786,187.086197,10.30199909210205,2019-10-11T00:01:36.471104Z,3
46900200300211549,-85.54502664029128,34.67424625586046,55987296.35954,2019,EPSG5070_50KM_18_26,18,26,0.0272219604361854,358.159637,10.320775985717772,2019-10-11T00:01:36.359540Z,3
46900300300206432,-85.53720537704355,34.6608243616896,55987296.528952,2019,EPSG5070_50KM_18_26,18,26,0.0499401237221566,170.084732,10.296268463134766,2019-10-11T00:01:36.528952Z,3
46900100300206463,-85.540496193621,34.67518712618275,55987296.66944,2019,EPSG5070_50KM_18_26,18,26,0.0542862409868198,298.928284,10.31014633178711,2019-10-11T00:01:36.669440Z,3
46900200300211582,-85.52979435109272,34.6623359969467,55987296.640516,2019,EPSG5070_50KM_18_26,18,26,0.1112310270816093,115.156723,10.294584274291992,2019-10-11T00:01:36.640515Z,3
46900200300211557,-85.5414816549538,34.6714459403989,55987296.425652,2019,EPSG5070_50KM_18_26,18,26,0.1355193548714626,400.5047302246094,10.327749252319336,2019-10-11T00:01:36.425651Z,3
46900200300211558,-85.54058983474312,34.67074586153351,55987296.44218,2019,EPSG5070_50KM_18_26,18,26,0.137255505159178,306.40329,10.306551933288574,2019-10-11T00:01:36.442180Z,3
46900200300211560,-85.53970693273453,34.67004578266812,55987296.458708,2019,EPSG5070_50KM_18_26,18,26,0.1429930518306507,140.186432,10.296003341674805,2019-10-11T00:01:36.458708Z,3
46900100300206458,-85.54274803965298,34.6769350937957,55987296.62812,2019,EPSG5070_50KM_18_26,18,26,0.1781567741758404,120.430878,10.303083419799805,2019-10-11T00:01:36.628119Z,3
46900300300206420,-85.54299329021092,34.665368185663056,55987296.42152,2019,EPSG5070_50KM_18_26,18,26,0.262393077785697,287.370575,10.31011962890625,2019-10-11T00:01:36.421520Z,3
46900100300206459,-85.54230212954764,34.67658728391351,55987296.636384,2019,EPSG5070_50KM_18_26,18,26,0.3423889550300193,126.554031,10.29625129699707,2019-10-11T00:01:36.636384Z,3
46900200300211559,-85.54014838373882,34.67039359255028,55987296.450444,2019,EPSG5070_50KM_18_26,18,26,0.4327883820678314,214.186905,10.299792289733888,2019-10-11T00:01:36.450443Z,3
46900200300211552,-85.54370674637947,34.67319390801185,55987296.384332,2019,EPSG5070_50KM_18_26,18,26,0.4633564640748333,318.950958,10.31474494934082,2019-10-11T00:01:36.384332Z,3
46900200300211551,-85.54413927918165,34.673546176995075,55987296.376068,2019,EPSG5070_50KM_18_26,18,26,0.4859218014681575,444.537079,10.325511932373049,2019-10-11T00:01:36.376068Z,3
46900300300206421,-85.54254738010557,34.665020375780884,55987296.429784,2019,EPSG5070_50KM_18_26,18,26,0.5018238107778114,197.449966,10.299266815185549,2019-10-11T00:01:36.429784Z,3
